               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,             0.02036,           0.0075018,                   0,             0.84611,              0.9997,             0.89808,             0.45079,            0.033615,           0.0091826,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.020514,           0.0095038,                   0,             0.84611,             0.99972,             0.89808,             0.41842,             0.03484,           0.0091867,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.018183,           0.0076859,                   0,              0.8461,                   1,             0.91712,             0.46707,            0.033143,           0.0088767,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,             0.01971,           0.0084653,                   0,             0.84608,                   1,             0.94346,             0.46558,            0.034237,            0.008724,                   0,            0.002872,            0.002872,            0.002872
                 146,            0.019428,           0.0084379,                   0,               0.846,                   1,             0.93962,              0.4541,            0.034034,           0.0087772,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.020235,           0.0077137,                   0,             0.84612,             0.99975,             0.95831,             0.49748,            0.032967,           0.0086582,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.021365,           0.0097934,                   0,             0.84614,             0.99992,             0.94931,             0.46432,            0.033229,           0.0089114,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.020278,           0.0081155,                   0,             0.84614,             0.99992,             0.95831,             0.47957,            0.032585,           0.0090434,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.020281,            0.010056,                   0,             0.84613,                   1,             0.93962,              0.4831,            0.032428,           0.0089895,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.021031,            0.008994,                   0,             0.84613,                   1,             0.92837,             0.46287,            0.032581,           0.0089928,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.019109,           0.0085809,                   0,              0.8461,                   1,             0.92837,             0.46698,            0.033018,           0.0090698,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.018642,           0.0087108,                   0,             0.84582,                   1,             0.93962,             0.47218,            0.032319,           0.0091999,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.020378,             0.00811,                   0,             0.78558,                   1,             0.93071,             0.47139,            0.033624,           0.0092919,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.021221,           0.0089226,                   0,             0.78564,             0.99961,             0.93071,             0.46198,            0.031692,           0.0095627,                   0,            0.002377,            0.002377,            0.002377
